A̱o,Periodo,Agricultura.ganaderia,Industria.electricidad,Industria.manufacturera,Construccion
2005,Primer trimestre,279698,15445,559563,237909
2005,Segundo trimestre,275845,7631,550739,230261
2005,Tercer trimestre,346941,10008,581310,220126
2005,Cuarto trimestre,318086,7247,602206,230580
2006,Primer trimestre,280900,9595,592521,228166
2006,Segundo trimestre,284799,7881,596227,261970
2006,Tercer trimestre,295370,17128,624488,257335
2006,Cuarto trimestre,249436,12045,628237,266009
2007,Primer trimestre,256130,12219,616876,261752
2007,Segundo trimestre,260260,12314,588984,261662
2007,Tercer trimestre,295903,12764,595675,256376
2007,Cuarto trimestre,293972,8632,583970,250217
2008,Primer trimestre,272591,6715,559280,258740
2008,Segundo trimestre,273980,7409,622649,292225
2008,Tercer trimestre,302487,14203,605932,261026
2008,Cuarto trimestre,262629,16600,584952,256115
2009,Primer trimestre,237366,17039,588711,241072
2009,Segundo trimestre,270905,21543,574533,258116
2009,Tercer trimestre,315880,22302,550975,226402
2009,Cuarto trimestre,332431,13941,572089,237304
2010,Primer trimestre,288845,11201,586380,243887
2010,Segundo trimestre,301355,16405,541801,247695
2010,Tercer trimestre,345784,13284,570786,239051
2010,Cuarto trimestre,342825,8916,574555,227383
2011,Primer trimestre,295702,12111,571340,234266
2011,Segundo trimestre,290848,9649,588292,236049
2011,Tercer trimestre,346516,8093,552186,249835
2011,Cuarto trimestre,304107,7726,589832,245291
2012,Primer trimestre,298581,7670,595317,259849
2012,Segundo trimestre,290960,10649,609931,263897
2012,Tercer trimestre,331758,16719,591601,260032
2012,Cuarto trimestre,308986,10746,587770,233921
2013,Primer trimestre,323032,14963,539215,246226
2013,Segundo trimestre,293590,16876,628104,236149
2013,Tercer trimestre,319887,15524,635791,222374
2013,Cuarto trimestre,314482,12845,624180,222234
2014,Primer trimestre,305287,13442,619786,229656
2014,Segundo trimestre,314600,13392,604364,245522
2014,Tercer trimestre,358453,12771,588670,233187
2014,Cuarto trimestre,314441,10883,608727,229941
2015,Primer trimestre,321415,9381,638128,246551
2015,Segundo trimestre,317985,13851,629245,274937
2015,Tercer trimestre,323572,14090,666054,268592
2015,Cuarto trimestre,324981,10189,713923,282638
2016,Primer trimestre,320330,10096,676679,271720
2016,Segundo trimestre,309464,12679,669373,290203
2016,Tercer trimestre,334636,11362,634991,274076
2016,Cuarto trimestre,304996,10772,657664,296271
2017,Primer trimestre,303187,12848,666590,292433
2017,Segundo trimestre,313301,12193,647828,303223
2017,Tercer trimestre,366668,10095,689357,286899
2017,Cuarto trimestre,346696,9974,691078,286486
2018,Primer trimestre,316579,11923,696443,299320
2018,Segundo trimestre,300670,16065,651168,316280
2018,Tercer trimestre,330652,11763,666818,316576
2018,Cuarto trimestre,309252,11777,662096,315538
2019,Primer trimestre,332761,11652,696999,314262
2019,Segundo trimestre,328213,12290,688550,326423
2019,Tercer trimestre,352759,10284,696082,296128
2019,Cuarto trimestre,345392,14918,697154,311277
2020,Primer trimestre,295809,13285,702224,311814
2020,Tercer trimestre,307782,12687,676380,320250
2020,Cuarto trimestre,298834,11697,635309,320678
2021,Primer trimestre,306010,8581,680330,339285
2021,Segundo trimestre,329779,9609,676852,315153
2021,Tercer trimestre,352134,11013,691638,290625
2021,Cuarto trimestre,371577,11505,721939,285130